Line,Type,Date,TTI Status
MSC,20',5/29/2020,SINGLE
MSC,40',5/29/2020,SINGLE
MSC,40HC,5/29/2020,SINGLE
MSC,45,5/29/2020,SINGLE
MAE,20',5/29/2020,SINGLE
MAE,40',5/29/2020,SINGLE
MAE,40HC,5/29/2020,SINGLE
MAE,45,5/29/2020,SINGLE
SML,20',5/29/2020,DUAL
SML,40',5/29/2020,DUAL
SML,40HC,5/29/2020,DUAL
SML,45,5/29/2020,DUAL
MSC,20',5/30/2020,SINGLE
MSC,40',5/30/2020,DUAL
MSC,40HC,5/30/2020,DUAL
MSC,45,5/30/2020,DUAL
MAE,20',5/30/2020,SINGLE
MAE,40',5/30/2020,SINGLE
MAE,40HC,5/30/2020,SINGLE
MAE,45,5/30/2020,SINGLE
SML,20',5/30/2020,DUAL
SML,40',5/30/2020,NO
SML,40HC,5/30/2020,NO
SML,45,5/30/2020,NO
MSC,20',5/31/2020,NO
MSC,40',5/31/2020,NO
MSC,40HC,5/31/2020,NO
MSC,45,5/31/2020,NO
MAE,20',5/31/2020,NO
MAE,40',5/31/2020,NO
MAE,40HC,5/31/2020,NO
MAE,45,5/31/2020,NO
SML,20',5/31/2020,NO
SML,40',5/31/2020,NO
SML,40HC,5/31/2020,NO
SML,45,5/31/2020,NO
